2024-10-12 11:26:40,801 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-10-12 11:26:40,900 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-10-12 11:27:12,566 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-10-12 11:27:12,665 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-10-12 11:28:41,839 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:42,298 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:42,415 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:42,532 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:42,799 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:42,918 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:43,031 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:43,367 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:43,687 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:44,127 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:45,320 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:46,587 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:47,324 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:47,661 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:48,019 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:48,368 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:48,504 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:49,382 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:50,098 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:50,311 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:50,661 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:51,033 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:51,573 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:52,026 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:52,138 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:52,253 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:52,572 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:53,138 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:53,693 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:53,803 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:54,030 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:54,469 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:54,692 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
